,0-0,0-1,0-10,0-11,0-12,0-13,0-14,0-15,0-16,0-2,0-3,0-4,0-5,0-6,0-7,0-8,0-9,1-0,1-1,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,2-0,2-1,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,3-0,3-1,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,4-0,4-1,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,5-0,5-1,5-10,5-11,5-12,5-13,5-14,5-15,5-16,5-2,5-3,5-4,5-5,5-6,5-7,5-8,5-9,6-0,6-1,6-10,6-11,6-12,6-13,6-14,6-15,6-16,6-2,6-3,6-4,6-5,6-6,6-7,6-8,6-9,7-0,7-1,7-10,7-11,7-12,7-13,7-14,7-15,7-16,7-2,7-3,7-4,7-5,7-6,7-7,7-8,7-9,8-0,8-1,8-10,8-11,8-12,8-13,8-14,8-15,8-16,8-2,8-3,8-4,8-5,8-6,8-7,8-8,8-9,9-0,9-1,9-10,9-11,9-12,9-13,9-14,9-15,9-16,9-2,9-3,9-4,9-5,9-6,9-7,9-8,9-9
undercoordinated,40,47,52,46,43,47,53,48,55,50,56,38,44,50,53,34,51,50,58,51,45,50,53,46,47,47,37,37,62,44,39,53,51,46,44,42,51,40,47,42,41,47,39,49,49,47,46,41,55,39,44,46,40,55,47,49,41,46,37,57,45,48,50,55,44,49,50,38,45,41,44,37,45,49,40,44,50,52,49,40,41,44,61,49,41,50,41,44,37,49,53,42,48,56,44,46,39,69,50,41,46,54,55,49,50,50,53,62,48,33,47,38,42,39,55,38,38,38,42,38,44,51,45,45,48,61,49,47,48,49,57,44,52,57,49,56,45,42,45,51,59,52,42,46,44,49,51,46,53,46,52,49,49,42,40,40,46,44,60,63,46,59,48,51,54,55,47,46,50,51
overcoordinated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fully coordinated,255,244,242,247,253,249,240,248,238,243,236,255,250,240,243,259,239,243,238,242,251,246,240,250,246,243,259,257,234,250,254,240,240,247,252,254,239,253,243,251,252,249,254,244,240,245,247,252,238,254,249,250,253,241,249,244,255,250,256,236,251,246,240,238,252,247,245,258,245,253,248,256,251,244,250,249,239,244,245,253,255,249,232,247,254,243,249,247,259,244,240,254,245,237,249,244,252,224,246,249,247,242,235,244,245,242,243,228,245,257,246,253,249,254,241,252,253,258,254,255,246,242,250,248,244,235,247,246,245,247,238,249,237,239,247,240,245,251,246,245,237,244,251,247,249,247,239,250,243,247,241,241,244,248,252,256,250,252,233,230,247,235,245,245,239,241,249,247,246,240
