,0-0,0-1,0-10,0-11,0-12,0-13,0-14,0-15,0-16,0-2,0-3,0-4,0-5,0-6,0-7,0-8,0-9,1-0,1-1,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,2-0,2-1,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,3-0,3-1,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,4-0,4-1,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,5-0,5-1,5-10,5-11,5-12,5-13,5-14,5-15,5-16,5-2,5-3,5-4,5-5,5-6,5-7,5-8,5-9,6-0,6-1,6-10,6-11,6-12,6-13,6-14,6-15,6-16,6-2,6-3,6-4,6-5,6-6,6-7,6-8,6-9,7-0,7-1,7-10,7-11,7-12,7-13,7-14,7-15,7-16,7-2,7-3,7-4,7-5,7-6,7-7,7-8,7-9,8-0,8-1,8-10,8-11,8-12,8-13,8-14,8-15,8-16,8-2,8-3,8-4,8-5,8-6,8-7,8-8,8-9,9-0,9-1,9-10,9-11,9-12,9-13,9-14,9-15,9-16,9-2,9-3,9-4,9-5,9-6,9-7,9-8,9-9
undercoordinated,49,53,48,50,54,58,62,58,49,50,63,44,58,50,55,45,60,48,58,46,45,54,50,56,54,67,44,36,59,59,36,53,59,43,47,38,61,48,53,50,35,47,48,51,61,47,41,51,45,48,56,50,43,59,42,51,47,62,42,56,47,49,44,51,53,57,67,53,50,50,36,43,41,57,46,44,50,53,55,42,50,51,58,49,48,42,47,60,40,39,56,39,55,63,65,44,45,66,52,60,55,63,57,63,55,46,57,64,49,42,45,44,46,50,53,40,46,40,49,53,43,50,51,57,53,64,53,52,61,52,48,47,46,59,51,50,55,55,45,60,68,56,49,44,46,57,60,59,54,51,45,59,53,48,48,39,44,48,63,58,62,50,46,51,51,56,59,49,64,50
overcoordinated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fully coordinated,241,238,246,239,242,238,231,232,243,243,229,249,233,237,235,248,227,239,238,244,251,242,240,234,237,223,246,251,233,235,254,237,229,250,249,255,226,238,232,240,255,246,242,238,226,244,252,240,248,245,233,240,244,237,248,239,246,231,248,237,245,239,245,236,240,235,224,243,235,244,255,247,250,233,244,241,237,240,239,245,240,242,229,246,244,245,237,228,252,252,233,249,235,230,228,240,242,222,244,228,235,227,230,227,237,243,235,226,238,245,239,241,242,243,243,244,242,250,247,237,242,240,244,231,236,230,241,238,229,241,241,246,243,234,240,240,232,237,246,233,228,236,241,249,243,237,230,233,239,242,244,231,240,239,244,254,252,248,227,232,231,240,240,242,236,232,237,240,231,241
