,0-0,0-1,0-10,0-11,0-12,0-13,0-14,0-15,0-16,0-2,0-3,0-4,0-5,0-6,0-7,0-8,0-9,1-0,1-1,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,2-0,2-1,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,3-0,3-1,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,4-0,4-1,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,5-0,5-1,5-10,5-11,5-12,5-13,5-14,5-15,5-16,5-2,5-3,5-4,5-5,5-6,5-7,5-8,5-9,6-0,6-1,6-10,6-11,6-12,6-13,6-14,6-15,6-16,6-2,6-3,6-4,6-5,6-6,6-7,6-8,6-9,7-0,7-1,7-10,7-11,7-12,7-13,7-14,7-15,7-16,7-2,7-3,7-4,7-5,7-6,7-7,7-8,7-9,8-0,8-1,8-10,8-11,8-12,8-13,8-14,8-15,8-16,8-2,8-3,8-4,8-5,8-6,8-7,8-8,8-9,9-0,9-1,9-10,9-11,9-12,9-13,9-14,9-15,9-16,9-2,9-3,9-4,9-5,9-6,9-7,9-8,9-9
undercoordinated,46,37,45,36,31,37,42,44,42,37,44,34,35,47,53,34,43,31,44,41,41,41,43,45,41,40,32,35,42,45,37,42,40,37,40,33,43,37,39,36,42,45,36,37,42,46,40,38,39,41,38,28,42,40,44,36,40,36,34,40,42,43,44,46,36,49,48,39,41,38,38,40,33,44,40,39,35,40,41,37,40,34,43,41,41,35,45,42,38,35,43,38,43,47,36,41,41,47,40,39,46,39,50,42,42,42,42,40,45,35,41,38,39,42,38,40,38,34,42,42,41,48,41,33,41,45,32,35,40,42,37,46,38,46,43,47,35,36,44,40,41,42,39,38,37,43,40,39,35,41,40,37,42,39,42,46,33,42,44,42,37,41,42,40,43,36,41,36,41,39
overcoordinated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fully coordinated,250,259,251,260,265,259,254,252,254,259,252,262,261,249,243,262,253,265,252,255,255,255,253,251,255,256,264,261,254,251,259,254,256,259,256,263,253,259,257,260,254,251,260,259,254,250,256,258,257,255,258,268,254,256,252,260,256,260,262,256,254,253,252,250,260,247,248,257,255,258,258,256,263,252,256,257,261,256,255,259,256,262,253,255,255,261,251,254,258,261,253,258,253,249,260,255,255,249,256,257,250,257,246,254,254,254,254,256,251,261,255,258,257,254,258,256,258,262,254,254,255,248,255,263,255,251,264,261,256,254,259,250,258,250,253,249,261,260,252,256,255,254,257,258,259,253,256,257,261,255,256,259,254,257,254,250,263,254,252,254,259,255,254,256,253,260,255,260,255,257
