,0-0,0-1,0-10,0-11,0-12,0-13,0-14,0-15,0-16,0-2,0-3,0-4,0-5,0-6,0-7,0-8,0-9,1-0,1-1,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,2-0,2-1,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,3-0,3-1,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,4-0,4-1,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,5-0,5-1,5-10,5-11,5-12,5-13,5-14,5-15,5-16,5-2,5-3,5-4,5-5,5-6,5-7,5-8,5-9,6-0,6-1,6-10,6-11,6-12,6-13,6-14,6-15,6-16,6-2,6-3,6-4,6-5,6-6,6-7,6-8,6-9,7-0,7-1,7-10,7-11,7-12,7-13,7-14,7-15,7-16,7-2,7-3,7-4,7-5,7-6,7-7,7-8,7-9,8-0,8-1,8-10,8-11,8-12,8-13,8-14,8-15,8-16,8-2,8-3,8-4,8-5,8-6,8-7,8-8,8-9,9-0,9-1,9-10,9-11,9-12,9-13,9-14,9-15,9-16,9-2,9-3,9-4,9-5,9-6,9-7,9-8,9-9
undercoordinated,60,54,60,46,56,58,56,63,61,60,62,51,63,52,56,68,72,48,61,47,44,60,62,62,52,65,50,40,62,59,41,60,50,55,51,50,69,51,48,57,56,56,44,63,67,45,44,61,55,58,66,51,54,64,51,56,50,56,49,56,63,54,55,49,61,64,69,53,53,51,43,51,54,56,47,55,47,51,48,50,60,52,55,55,52,41,57,75,66,41,57,42,56,64,66,48,48,58,66,63,48,67,53,58,52,50,57,67,55,50,48,47,52,59,55,50,53,55,55,60,49,57,50,52,56,55,53,76,56,50,61,49,58,59,58,55,50,60,42,59,65,52,50,55,52,56,62,53,67,53,50,55,47,52,56,46,44,56,64,64,57,65,53,48,57,54,61,63,68,65
overcoordinated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fully coordinated,227,230,231,237,237,230,228,224,223,227,230,236,222,235,230,225,212,237,231,240,246,228,225,228,236,220,233,247,227,225,249,230,229,235,242,235,213,226,231,230,228,231,243,221,217,246,240,224,236,232,214,235,230,229,236,225,236,231,233,230,229,228,231,235,229,223,219,243,232,236,245,231,231,231,241,223,236,237,246,237,224,237,232,234,234,243,219,211,226,247,232,243,225,224,227,233,236,219,227,222,242,217,231,225,235,237,225,217,230,234,228,238,236,231,235,229,232,231,235,230,234,230,242,233,230,233,238,211,232,240,223,240,231,231,232,232,234,230,246,228,224,237,233,235,231,233,222,232,226,231,236,226,244,232,236,247,243,237,223,224,229,219,233,236,227,231,235,223,214,222
