,0-0,0-1,0-10,0-11,0-12,0-13,0-14,0-15,0-16,0-2,0-3,0-4,0-5,0-6,0-7,0-8,0-9,1-0,1-1,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,2-0,2-1,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,3-0,3-1,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,4-0,4-1,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,5-0,5-1,5-10,5-11,5-12,5-13,5-14,5-15,5-16,5-2,5-3,5-4,5-5,5-6,5-7,5-8,5-9,6-0,6-1,6-10,6-11,6-12,6-13,6-14,6-15,6-16,6-2,6-3,6-4,6-5,6-6,6-7,6-8,6-9,7-0,7-1,7-10,7-11,7-12,7-13,7-14,7-15,7-16,7-2,7-3,7-4,7-5,7-6,7-7,7-8,7-9,8-0,8-1,8-10,8-11,8-12,8-13,8-14,8-15,8-16,8-2,8-3,8-4,8-5,8-6,8-7,8-8,8-9,9-0,9-1,9-10,9-11,9-12,9-13,9-14,9-15,9-16,9-2,9-3,9-4,9-5,9-6,9-7,9-8,9-9
undercoordinated,40,42,45,41,33,45,44,46,49,47,50,39,45,46,53,35,50,39,51,46,42,47,46,50,45,43,39,33,51,49,37,44,45,43,45,39,46,41,42,39,43,42,38,39,38,49,37,43,49,41,38,43,43,51,44,38,39,50,35,47,51,41,47,43,42,54,46,37,46,45,39,43,37,46,40,37,43,46,47,38,47,40,55,36,43,37,42,42,36,40,47,39,59,51,44,46,36,49,42,48,41,53,39,53,39,54,47,44,48,40,51,38,48,41,45,34,39,38,40,33,48,45,41,43,51,62,44,36,38,41,45,53,49,48,47,51,38,42,45,40,52,36,43,42,43,45,52,45,43,52,41,46,45,40,43,62,43,41,60,55,45,48,48,44,43,41,45,35,37,42
overcoordinated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fully coordinated,255,252,251,252,263,251,249,250,247,249,243,257,251,247,243,261,243,257,245,250,254,249,247,246,251,250,257,261,245,247,259,249,249,250,251,257,247,252,251,254,250,254,258,257,254,247,256,250,247,252,255,253,250,245,252,258,257,246,258,246,245,255,246,250,254,242,249,259,247,249,254,253,259,250,253,259,251,250,249,257,249,256,238,260,253,259,251,249,260,256,246,257,234,245,252,247,255,244,254,245,252,243,254,243,257,239,249,249,248,253,245,258,246,252,251,259,255,258,256,260,245,251,255,253,245,234,252,260,255,255,251,241,243,248,249,245,255,254,251,256,244,260,250,251,250,251,241,251,253,241,252,247,248,253,249,234,253,255,233,238,251,246,248,252,253,255,251,261,259,254
