,0-0,0-1,0-10,0-11,0-12,0-13,0-14,0-15,0-16,0-2,0-3,0-4,0-5,0-6,0-7,0-8,0-9,1-0,1-1,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,2-0,2-1,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,3-0,3-1,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,4-0,4-1,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,5-0,5-1,5-10,5-11,5-12,5-13,5-14,5-15,5-16,5-2,5-3,5-4,5-5,5-6,5-7,5-8,5-9,6-0,6-1,6-10,6-11,6-12,6-13,6-14,6-15,6-16,6-2,6-3,6-4,6-5,6-6,6-7,6-8,6-9,7-0,7-1,7-10,7-11,7-12,7-13,7-14,7-15,7-16,7-2,7-3,7-4,7-5,7-6,7-7,7-8,7-9,8-0,8-1,8-10,8-11,8-12,8-13,8-14,8-15,8-16,8-2,8-3,8-4,8-5,8-6,8-7,8-8,8-9,9-0,9-1,9-10,9-11,9-12,9-13,9-14,9-15,9-16,9-2,9-3,9-4,9-5,9-6,9-7,9-8,9-9
undercoordinated,53,55,54,57,56,55,54,60,55,56,64,48,60,52,61,65,68,55,59,49,50,56,64,58,49,69,50,42,59,55,39,52,55,52,51,44,61,44,60,56,47,51,46,58,62,47,47,59,51,56,65,55,51,67,56,48,49,60,56,55,63,52,48,49,58,63,67,54,49,58,42,43,48,59,52,50,45,49,57,49,55,52,57,51,50,44,54,63,57,40,53,40,58,66,62,45,43,60,60,65,54,74,56,65,56,57,50,72,52,47,55,58,44,45,56,43,49,51,56,63,47,55,50,59,54,57,50,64,53,53,54,51,56,54,56,57,55,52,45,57,61,53,48,46,55,53,62,57,63,54,44,56,55,49,51,46,46,55,59,58,59,55,47,47,55,52,58,57,62,55
overcoordinated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fully coordinated,234,232,237,229,237,239,233,227,232,231,228,245,228,235,225,228,219,230,233,238,243,235,223,232,239,219,234,245,233,233,251,238,225,238,245,244,221,236,222,231,240,239,241,228,225,244,240,226,240,234,218,235,236,226,231,235,237,230,229,234,229,233,238,238,232,226,222,242,236,231,246,242,239,231,238,231,239,241,237,238,232,240,230,238,239,240,227,223,235,248,236,248,227,222,231,236,241,222,233,220,236,213,228,222,233,230,239,215,233,240,224,227,244,245,237,239,236,236,237,227,236,232,245,226,232,234,241,223,237,237,233,241,233,236,234,230,229,238,243,233,228,236,235,244,231,236,226,228,230,230,242,228,236,235,241,247,248,241,228,232,230,232,239,240,229,236,238,229,223,236
